,latitude,longitude,id,addr:housenumber,addr:street
75,52.0107892,4.3676887,553492630,1,Oosteinde
76,52.0111720,4.3675767,553492636,6,Oosteinde
77,52.0132607,4.3597056,553511594,30,Vrouwjuttenland
78,52.0132795,4.3596532,553511596,32,Vrouwjuttenland
79,52.0136774,4.3588315,553511605,18,Verwersdijk
80,52.0157479,4.3549389,553511619,18,Molenstraat
81,52.0156031,4.3545964,553511622,4A,Molenstraat
82,52.0144945,4.3633190,553511641,41,Oosterstraat
83,52.0025360,4.3532315,553540176,51,Krakeelpolderweg
84,52.0128008,4.3353927,558508768,112,Van Foreestweg
85,52.0130414,4.3361911,558508773,16-20,Van Foreestweg
86,52.0116190,4.3482893,558508909,4,Van Bossestraat
87,52.0111411,4.3483135,558508911,42,Loudonstraat
88,52.0117008,4.3485832,558508914,148,C. Fockstraat
89,52.0122387,4.3479195,558508920,75,Hof van Delftlaan
90,51.9963879,4.3552499,558508934,1,Voorhofdreef
91,52.0111483,4.3608202,558518665,18,Burgwal
92,52.0111928,4.3626874,558518669,33,Beestenmarkt
93,52.0115617,4.3620311,558518670,8,Beestenmarkt
94,52.0116768,4.3622968,558518672,14,Beestenmarkt
95,52.0117830,4.3628167,558518674,26,Beestenmarkt
96,52.0112378,4.3627766,558518675,35,Beestenmarkt
97,52.0116510,4.3630173,558518676,30,Beestenmarkt
98,51.9996143,4.3297684,564813418,6,Woudseweg
99,52.0007034,4.3297751,564813428,1c,Hof van Delftstraat
100,51.9997110,4.3301879,564813429,4,Hoornsewal
101,52.0011126,4.3310029,564824778,9,Koningin Julianaplein
102,52.0089321,4.3630228,565751833,100,Vesteplein
103,52.0160058,4.3453738,566455376,9,Zocherweg
104,52.0129328,4.3578167,567903039,21,Choorstraat
105,52.0089141,4.3597364,583018388,16,Koornmarkt
106,52.0051791,4.3634402,583018391,94,Rotterdamseweg
107,52.0102984,4.3577750,583022322,9,Peperstraat
108,52.0102539,4.3576289,583022323,5,Peperstraat
109,52.0102244,4.3575436,598313436,3,Peperstraat
110,52.0103459,4.3579469,598313437,13,Peperstraat
111,52.0070372,4.3554012,599025828,47,Coenderstraat
112,51.9945913,4.3621185,601936685,281,Vulcanusweg
113,51.9907869,4.3314429,603300994,1,Kerkpolderweg
114,51.9994456,4.3431217,610313133,2,Buitenhofdreef
115,51.9985607,4.3544380,617798649,7H,Troelstralaan
116,51.9992074,4.3470888,627125053,8,Juniusstraat
117,51.9965477,4.3441076,627125070,2,Griegstraat
118,51.9924726,4.3439405,643586107,1,Bachsingel
119,51.9848097,4.3426974,644082111,9,Lagosweg
120,51.9999103,4.3427244,644094050,2a,Reinier de Graafweg
121,51.9839325,4.3608181,644111026,13,Fuutlaan
122,52.0124421,4.3743355,660690892,1,Staalweg
123,52.0241325,4.3547309,661546283,156,Brasserskade
124,51.9851769,4.3455308,669803690,1,Derde Werelddreef
125,51.9830669,4.3549973,669895398,13,Rietgorspad
126,51.9826824,4.3457268,670013569,1,Ivoorkust
127,52.0107977,4.3582897,674813526,84,Koornmarkt
128,51.9973116,4.3742002,702959721,17,Feldmannweg
129,52.0083684,4.3614651,702995760,37,Breestraat
130,51.9817716,4.3938535,729207243,202,Rijksweg A13
131,52.0087264,4.3641018,761274523,5,Bastiaansplein
132,52.0092524,4.3646134,761274527,137,Bastiaansplein
133,52.0164353,4.3682687,781854010,4B,Beukenlaan
134,52.0190516,4.3730208,883518959,4,Bieslandsepad
135,52.0101997,4.3620189,919973721,8,Paradijspoort
136,52.0113878,4.3567202,919973722,8,Nieuwstraat
137,52.0107426,4.3595448,919973731,33,Kromstraat
138,52.0111127,4.3625201,919973732,27,Beestenmarkt
139,52.0088013,4.3642884,919973740,7,Bastiaansplein
140,52.0087275,4.3638447,919973743,1,Bastiaansplein
141,52.0097260,4.3628512,919973752,15,Paradijspoort
142,52.0111030,4.3650760,919973753,46,Yperstraat
143,52.0003713,4.3317905,954467734,1,Koningin Julianaplein
144,52.0120679,4.3557942,1248982258,140,Oude Delft
145,52.0133384,4.3585620,1250489111,50-54,Choorstraat
146,52.0008292,4.3790113,1263509677,2,Van Embdenstraat
147,51.9946267,4.3665883,1305763902,15,Schieweg
148,52.0104180,4.3634683,1313910249,39-41,Kruisstraat
149,52.0095791,4.3591986,1343300122,34,Koornmarkt
150,51.9878065,4.3459232,1344363973,12,Vrijheidslaan
151,51.9878483,4.3462362,1344363976,22,Vrijheidslaan
152,52.0126541,4.3480308,1357395873,61,Hof van Delftlaan
153,52.0123603,4.3465008,1357964336,24A,Thorbeckestraat
154,52.0124436,4.3482256,1357964338,27,van Hallstraat
155,52.0124666,4.3480356,1357968532,63A,Hof van Delftlaan
156,52.0124017,4.3480009,1358768703,63,Hof van Delftlaan
157,52.0128122,4.3426798,1358783251,28,Kappeyne van de Coppellostraat
158,52.0107291,4.3442079,1358791450,2,Colijnlaan
159,52.0126649,4.3545986,1363032645,34,Schoolstraat
160,52.0148632,4.3516931,1368097858,10B,Kampveld
161,52.0149621,4.3510760,1368166770,9,Wateringsevest
162,52.0099621,4.3566412,1368244707,34,Binnenwatersloot
163,52.0097468,4.3561394,1368244732,16,Binnenwatersloot
164,52.0055633,4.3536696,1368288042,65,Raamstraat
165,52.0102370,4.3610578,1386640507,2,Molslaan
166,52.0016657,4.3697549,1387779467,15,Landbergstraat
167,52.0113191,4.3516291,1388697285,24,Sint Olofslaan
168,52.0128272,4.3571433,1388710216,4,Choorstraat
169,52.0091837,4.3523313,1394068322,110,Hugo de Grootstraat
170,52.0090954,4.3521057,1394068347,118-136,Hugo de Grootstraat
171,52.0089347,4.3516172,1394068352,136C,Hugo de Grootstraat
172,52.0092741,4.3525401,1394068379,100,Hugo de Grootstraat
173,52.0090980,4.3524933,1400253421,35,Hugo de Grootstraat
174,52.0092672,4.3528646,1400253423,25,Hugo de Grootplein
175,52.0089673,4.3544059,1410759090,1A,Spoorsingel
176,52.0090916,4.3544513,1410759095,2A,Spoorsingel
177,52.0093062,4.3525819,1412527578,96,Hugo de Grootstraat
178,52.0093409,4.3526831,1412539198,92,Hugo de Grootstraat
179,52.0106540,4.3498601,1416840103,34,Willemstraat
180,51.9917004,4.3568384,1421472347,4,Voorhofdreef
181,51.9824292,4.3719924,1433961964,104,Schieweg
182,52.0091804,4.3272926,1448094750,107,Kristalweg
183,52.0090767,4.3270800,1448094756,107,Kristalweg
184,52.0136440,4.3620755,1455237573,52,Vlamingstraat
185,51.9820253,4.3457205,1478186050,185,Bikolaan
186,51.9821236,4.3465723,1478186125,243,Bikolaan
187,52.0122015,4.3589958,1480627027,16,Voldersgracht
188,51.9988087,4.3755745,1491633170,1,Stevinweg
189,52.0187162,4.3620872,1493621096,18,Tweemolentjeskade
190,51.9980592,4.3554550,1504737186,139,Papsouwselaan
191,52.0021137,4.3461799,1534585988,40,Mina Krusemanstraat
192,52.0017257,4.3628186,1569643722,105,Zuideinde
193,52.0014369,4.3624628,1569643914,2D,Abtswoudseweg
194,51.9976297,4.3519991,1571086365,71A,Troelstralaan
195,52.0112318,4.3453617,1571184489,1,Weteringlaan
196,52.0251181,4.3634035,1571226584,18,Kleveringweg
197,52.0106264,4.3565234,1623825593,123,Oude Delft
198,53.0212082,4.7111685,1653511382,8,Hoornderslag
199,52.0100395,4.3605457,1656888389,55-57,Brabantse Turfmarkt
200,52.0062216,4.3612461,1656924197,5,Achterom
201,52.0108558,4.3584407,1656928835,2,Oude Langendijk
202,52.0044248,4.3508487,1677196174,27,Krakeelpolderweg
203,52.0085932,4.3643741,1697971187,46,Zuidwal
204,52.0086443,4.3644674,1697971197,47,Zuidwal
205,52.0096905,4.3629203,1704413906,15A,Paradijspoort
206,52.0105649,4.3602118,1740134245,83,Brabantse Turfmarkt
207,52.0075012,4.3521339,1749784548,2A,Graswinckelstraat
208,52.0075696,4.3520668,1749797921,2,Graswinckelstraat
209,51.9977525,4.3237978,1768303064,1,Hooipolderweg
210,52.0066514,4.3126887,1788188605,41,Woudselaan
211,52.0033855,4.3432806,1795740849,2-4,Kluizenaarsbocht
212,52.0096885,4.3607877,1805609531,33-43,Brabantse Turfmarkt
213,51.9895878,4.3691138,1818984731,5,Energieweg
214,52.0046033,4.3598929,1826069188,13,Hooikade
215,52.0101563,4.3624556,1837032027,7,Paradijspoort
216,51.9819342,4.3451560,1918882304,171,Bikolaan
217,51.9996802,4.3553327,2117878657,18,Mercuriusweg
218,51.9990131,4.3542040,2117878662,450,Papsouwselaan
219,51.9999860,4.3535277,2117878667,214-218,Papsouwselaan
220,53.0028595,4.7858923,2198821921,4,Landsdiep
221,52.0123472,4.3626106,2266470747,227,Oosteinde
222,51.9979126,4.3540245,2313543928,11-13,Troelstralaan
223,51.9972169,4.3509566,2313543935,77-85,Troelstralaan
224,52.0108198,4.3597411,2325438477,39A,Kromstraat
225,52.0113250,4.3620060,2326943001,3,Beestenmarkt
226,52.0059997,4.3761230,2396107885,6,Professor Bosschastraat
227,52.0114288,4.3579742,2406784938,5,Markt
228,52.0133280,4.3565001,2434003629,2,Minderbroerstraat
229,52.0150175,4.3613944,2492022422,20,Raam
230,52.0111132,4.3591427,2558292946,13,Oude Langendijk
231,52.0140715,4.3658667,2578034120,1,Willem Naghelstraat
232,51.9815367,4.3624440,2595118795,1,Aalscholverring
233,51.9793764,4.3551815,2595118801,1,Abtsregt
234,51.9844954,4.3409436,2595118807,1,Accrastraat
235,51.9859723,4.3649595,2595118812,1,Adderhof
236,51.9819632,4.3653007,2595118816,1,Adelaarsingel
237,51.9791512,4.3497191,2595118821,1,Adenstraat
238,51.9814960,4.3667016,2595118827,1,Albatrosstraat
239,51.9831893,4.3449748,2595118831,1,Algerijestraat
240,51.9853626,4.3469622,2595118832,1,Amazoneweg
241,51.9817769,4.3437780,2595118839,1,Angolastraat
242,51.9906959,4.3757167,2595118844,1,Anthony Fokkerweg
243,51.9841272,4.3510408,2595118849,1,Argentiniëstraat
244,51.9831629,4.3440488,2595118855,1,Atlashof
245,51.9791461,4.3514014,2595118859,1,Bagdadstraat
246,51.9805913,4.3389061,2595118863,1,Bantulaan
247,51.9868121,4.3706287,2595118869,1,Bellweg
248,51.9806091,4.3457452,2595118873,1,Ben Goerionstraat
249,51.9792819,4.3506808,2595118878,1,Bengalenstraat
250,51.9854562,4.3620362,2595118884,1,Beverhof
251,51.9811480,4.3424699,2595118890,1,Bikolaan
252,51.9868016,4.3601187,2595118895,1,Boerderijstraat
253,51.9822640,4.3472400,2595118902,1,Bogotalaan
254,51.9840628,4.3495704,2595118907,1,Boliviastraat
255,51.9830401,4.3660517,2595118911,1,Bosuilstraat
256,51.9811559,4.3375694,2595118914,1,Botswanastraat
257,51.9863726,4.3822529,2595118915,1,Boussinesqweg
258,51.9837339,4.3477210,2595118919,1,Braziliëhof
259,51.9814916,4.3600350,2595118922,1,Brilduikerhof
260,51.9835713,4.3519764,2595118926,1,Buenos Airesstraat
261,51.9826962,4.3624703,2595118953,1,Buizerdlaan
262,51.9856302,4.3630295,2595118957,1,Bunzinghof
263,51.9834875,4.3447043,2595118961,1,Cairostraat
264,51.9848896,4.3510908,2595118965,1,Caracasstraat
265,51.9830204,4.3497741,2595118970,1,Chilipad
266,51.9785852,4.3394460,2595118977,1,Chinalaan
267,51.9821269,4.3477752,2595118978,1,Colombiahof
268,51.9824161,4.3492763,2595118979,1,Cubalaan
269,51.9936930,4.3839339,2595118980,1,Cyclotronweg
270,51.9832193,4.3427572,2595118981,1,Dakarhof
271,51.9854207,4.3606572,2595118982,1,Dasstraat
272,51.9844050,4.3510452,2595118983,1,De Mirandastraat
273,51.9798344,4.3430912,2595118984,1,Decimastraat
274,51.9888115,4.3602766,2595118985,1,Dieselweg
275,51.9879088,4.3719427,2595118986,1,Dynamoweg
276,51.9858740,4.3646792,2595118987,1,Edelhertlaan
277,51.9861488,4.3649245,2595118988,1,Eekhoornhof
278,51.9830328,4.3416168,2595118989,1,Egyptelaan
279,51.9783519,4.3442733,2595118990,1,Emiratenstraat
280,51.9899082,4.3710943,2595118992,1,Energieweg
281,51.9851219,4.3685513,2595118993,1,Faradayweg
282,51.9844959,4.3629829,2595118994,1,Fluiterpad
283,51.9849740,4.3599126,2595118995,1,Fretstraat
284,51.9831552,4.3598447,2595118996,1,Fuutlaan
285,51.9825293,4.3641510,2595118997,1,Gaaistraat
286,51.9827606,4.3367929,2595118998,1,Gabonstraat
287,51.9806724,4.3482605,2595118999,1,Gandhilaan
288,51.9865723,4.3577775,2595119000,1,Ganzenhof
289,51.9868937,4.3560282,2595119001,1,Geitenkamp
290,51.9814237,4.3451623,2595119002,1,Ghanastraat
291,51.9819947,4.3564481,2595119003,1,Graspieperstraat
292,51.9817133,4.3609875,2595119004,1,Gruttohof
293,51.9828114,4.3404763,2595119005,1,Guineelaan
294,51.9821088,4.3493600,2595119006,1,Havannastraat
295,51.9826708,4.3675311,2595119007,1,Haviksingel
296,51.9855941,4.3603656,2595119008,1,Hazelwormstraat
297,51.9872700,4.3592234,2595119009,1,Hazenlaan
298,51.9794360,4.3701717,2595119010,1,Henk van Riessenlaan
299,51.9873361,4.3631315,2595119012,1,Hermelijnstraat
300,51.9800996,4.3530378,2595119013,1,Het Slot
301,51.9858883,4.3563654,2595119014,1,Hoenderhof
302,51.9855847,4.3640292,2595119015,1,Houtduifstraat
303,51.9843484,4.3479529,2595119016,1,Hélder Câmarastraat
304,51.9836081,4.3595232,2595119017,1,IJsvogelpad
305,51.9800291,4.3487249,2595119018,1,Indiastraat
306,51.9802067,4.3476270,2595119019,1,Israëllaan
307,51.9825503,4.3665808,2595119021,1,Jagerstraat
308,51.9797710,4.3419310,2595119022,1,Japanlaan
309,51.9796882,4.3478610,2595119023,1,Jordaniëstraat
310,51.9870669,4.3579319,2595119024,1,Kalkoenstraat
311,51.9833232,4.3556511,2595119025,1,Karekiethof
312,51.9815792,4.3393299,2595119026,1,Karibastraat
313,51.9815486,4.3458501,2595119027,1,Kenyattastraat
314,51.9833531,4.3416928,2595119028,1,Khartoemstraat
315,51.9820127,4.3610281,2595119029,1,Kiekendiefhof
316,51.9825040,4.3555977,2595119030,1,Kievietstraat
317,51.9808300,4.3581011,2595119031,1,Kluutring
318,51.9898961,4.3753701,2595119032,1,Kluyverweg
319,51.9864053,4.3587233,2595119033,1,Koekamp
320,51.9850315,4.3657057,2595119035,1,Koekoekshof
321,51.9832659,4.3601237,2595119036,1,Kokmeeuwstraat
322,51.9843728,4.3654658,2595119037,1,Koolmeesstraat
323,51.9820213,4.3638335,2595119038,1,Kraaienstraat
324,51.9817891,4.3593337,2595119039,1,Kuifeendhof
325,51.9813920,4.3568628,2595119040,1,Kwartelstraat
326,51.9846856,4.3495305,2595119041,1,La Pazstraat
327,51.9849164,4.3433831,2595119042,1,Lagosweg
328,51.9817853,4.3370829,2595119043,1,Lambarenestraat
329,51.9802493,4.3581973,2595119044,1,Leeuweriklaan
330,51.9843512,4.3599131,2595119045,1,Lepelaarstraat
331,51.9805249,4.3369182,2595119046,1,Lesothostraat
332,51.9797188,4.3446800,2595119047,1,Libanonstraat
333,51.9852147,4.3661180,2595119048,1,Libellepad
334,51.9823372,4.3405519,2595119049,1,Liberiastraat
335,51.9832747,4.3456640,2595119050,1,Libiëstraat
336,51.9820652,4.3419722,2595119051,1,Lumumbasingel
337,51.9816994,4.3402121,2595119052,1,Lusakastraat
338,51.9800951,4.3376897,2595119053,1,Malawistraat
339,51.9833593,4.3407013,2595119055,1,Malisingel
340,51.9849003,4.3713367,2595119056,1,Marconiweg
341,51.9827928,4.3424296,2595119057,1,Marokkostraat
342,51.9877664,4.3644058,2595119058,1,Marterstraat
343,51.9782094,4.3434029,2595119059,1,Medinastraat
344,51.9828578,4.3476019,2595119060,1,Mexicohof
345,51.9861976,4.3639084,2595119061,1,Moufflonlaan
346,51.9846453,4.3639419,2595119062,1,Nachtegaallaan
347,51.9796905,4.3384384,2595119063,1,Namibiëstraat
348,51.9810782,4.3443624,2595119064,1,Nasserstraat
349,51.9833265,4.3435565,2595119065,1,Nijlhof
350,51.9793132,4.3490201,2595119066,1,Oe Thantstraat
351,51.9836258,4.3555191,2595119067,1,Oeverloperpad
352,51.9790269,4.3484130,2595119068,1,Omanstraat
353,51.9811320,4.3570959,2595119069,1,Ooievaarstraat
354,51.9850049,4.3518299,2595119070,1,Orinocostraat
355,51.9871115,4.3620937,2595119071,1,Otterlaan
356,51.9835902,4.3588537,2595119072,1,Pijlstaartpad
357,51.9808693,4.3564813,2595119073,1,Plevierhof
358,51.9867510,4.3585985,2595119074,1,Ponyhof
359,51.9830108,4.3430870,2595119075,1,Rabatstraat
360,51.9828536,4.3551557,2595119076,1,Rallepad
361,51.9829869,4.3593747,2595119077,1,Reigerstraat
362,51.9832480,4.3555906,2595119078,1,Rietgorsstraat
363,51.9833142,4.3567573,2595119079,1,Rietzangerstraat
364,51.9817704,4.3583868,2595119080,1,Roerdomphof
365,51.9913927,4.3728897,2595119082,1,Ruivenstraat
366,51.9857300,4.3598231,2595119083,1,Salamanderpad
367,51.9852907,4.3480990,2595119084,1,Sandinoweg
368,51.9830102,4.3569909,2595119085,1,Scholeksterpad
369,51.9847941,4.3648670,2595119086,1,Sijsjespad
370,51.9822874,4.3621670,2595119087,1,Slechtvalkhof
371,51.9826621,4.3417581,2595119088,1,Soedanhof
372,51.9811049,4.3372779,2595119089,1,Sowetostraat
373,51.9843325,4.3632914,2595119090,1,Spechtstraat
374,51.9831236,4.3647246,2595119091,1,Sperwersingel
375,51.9837029,4.3642556,2595119092,1,Spreeuwenstraat
376,51.9814606,4.3487157,2595119093,1,Sri Lankapad
377,51.9783881,4.3486255,2595119094,1,Straat van Ormoes
378,51.9837659,4.3461932,2595119095,1,Suezsingel
379,51.9809276,4.3467825,2595119096,1,Syriësingel
380,51.9813639,4.3592050,2595119097,1,Talinghof
381,51.9796565,4.3411987,2595119098,1,Tibetstraat
382,51.9819804,4.3425675,2595119099,1,Togostraat
383,51.9833853,4.3465757,2595119100,1,Tripolipad
384,51.9823638,4.3388532,2595119101,1,Tutustraat
385,51.9831435,4.3672685,2595119102,1,Uilensingel
386,51.9796505,4.3570682,2595119103,1,Uiverstraat
387,51.9827860,4.3673739,2595119104,1,Valkenlaan
388,51.9866177,4.3612626,2595119105,1,Veldmuizenpad
389,51.9846533,4.3527604,2595119106,1,Venezuelastraat
390,51.9841334,4.3387952,2595119107,1,Verzetspad
391,51.9859337,4.3516164,2595119108,1,Victoriapad
392,51.9849343,4.3662573,2595119110,1,Vinkenlaan
393,51.9850358,4.3737912,2595119111,1,Voltaweg
394,51.9850889,4.3594087,2595119112,1,Vossenlaan
395,51.9910572,4.3730905,2595119113,1,Wassenaarstraat
396,51.9835857,4.3568687,2595119114,1,Waterhoenstraat
397,51.9831530,4.3559213,2595119115,1,Watersnipstraat
398,51.9877242,4.3612797,2595119116,1,Wezelstraat
399,51.9846154,4.3663274,2595119117,1,Wielewaalstraat
400,51.9824711,4.3632558,2595119118,1,Wouwstraat
401,51.9823759,4.3568875,2595119119,1,Wulppad
402,51.9829042,4.3588910,2595119120,1,Zaagbekhof
403,51.9828753,4.3376817,2595119121,1,Zambezilaan
404,51.9831791,4.3394613,2595119122,1,Zambiastraat
405,51.9818931,4.3420322,2595119123,1,Zaïrestraat
406,51.9810157,4.3562837,2595119124,1,Zwaluwstraat
407,51.9870161,4.3569658,2595119125,1,Zwanenpad
408,51.9838003,4.3582479,2595119126,1,Zwarte Sternhof
409,51.9818153,4.3623201,2595119127,10,Aalscholverring
410,51.9855208,4.3650535,2595119128,10,Adderhof
411,51.9818464,4.3646876,2595119129,10,Adelaarsingel
412,51.9789515,4.3495364,2595119134,10,Adenstraat
413,51.9832001,4.3410268,2595119138,10,Afrikalaan
414,51.9830682,4.3447831,2595119139,10,Algerijestraat
415,51.9798950,4.3580503,2595119140,10,Alkstraat
416,51.9855358,4.3478691,2595119141,10,Amazoneweg
417,51.9873977,4.3682019,2595119142,10,Ampèreweg
418,51.9808955,4.3439127,2595119143,10,Angolastraat
419,51.9821590,4.3653787,2595119144,10,Arendlaan
420,51.9839630,4.3500176,2595119145,10,Argentiniëstraat
421,51.9829222,4.3438207,2595119146,10,Atlashof
422,51.9804464,4.3393184,2595119147,10,Bantulaan
423,51.9867656,4.3716413,2595119148,10,Bellweg
424,51.9823567,4.3455606,2595119149,10,Ben Bellastraat
425,51.9790663,4.3504187,2595119150,10,Bengalenstraat
426,51.9859427,4.3617806,2595119151,10,Beverhof
427,51.9809427,4.3426407,2595119153,10,Bikolaan
428,51.9824550,4.3475555,2595119155,10,Bogotalaan
429,51.9837089,4.3649674,2595119156,10,Boomkleverstraat
430,51.9832642,4.3661663,2595119157,10,Bosuilstraat
431,51.9803789,4.3373225,2595119159,10,Botswanastraat
432,51.9838707,4.3481849,2595119160,10,Braziliëhof
433,51.9811484,4.3598620,2595119161,10,Brilduikerhof
434,51.9841329,4.3524421,2595119162,10,Brionhof
435,51.9839087,4.3516028,2595119163,10,Buenos Airesstraat
436,51.9861131,4.3628556,2595119164,10,Bunzinghof
437,51.9837171,4.3448536,2595119165,10,Cairostraat
438,51.9847371,4.3515485,2595119166,10,Caracasstraat
439,51.9786778,4.3387601,2595119167,10,Chinalaan
440,51.9818655,4.3473962,2595119168,10,Colombiahof
441,51.9822400,4.3498468,2595119169,10,Cubalaan
442,51.9852212,4.3604054,2595119170,10,Dasstraat
443,51.9798830,4.3428311,2595119171,10,Decimastraat
444,51.9875615,4.3723513,2595119172,10,Dynamoweg
445,51.9862477,4.3652283,2595119173,10,Edelhertlaan
446,51.9866045,4.3648517,2595119174,10,Eekhoornhof
447,51.9828366,4.3418448,2595119175,10,Egyptelaan
448,51.9817332,4.3716421,2595119177,10,Einsteinweg
449,51.9781222,4.3440815,2595119178,10,Emiratenstraat
450,51.9864528,4.3715310,2595119179,10,Faradayweg
451,51.9847549,4.3632900,2595119180,10,Fluiterpad
452,51.9829789,4.3601532,2595119181,10,Fuutlaan
453,51.9827617,4.3642902,2595119182,10,Gaaistraat
454,51.9825051,4.3366373,2595119183,10,Gabonstraat
455,51.9803356,4.3484772,2595119184,10,Gandhilaan
456,51.9861137,4.3579783,2595119185,10,Ganzenhof
457,51.9866526,4.3558092,2595119186,10,Geitenkamp
458,51.9811426,4.3451350,2595119187,10,Ghanastraat
459,51.9812491,4.3611488,2595119188,10,Gruttohof
460,51.9829620,4.3404222,2595119189,10,Guineelaan
461,51.9827018,4.3504017,2595119190,10,Guévarastraat
462,51.9849875,4.3611072,2595119191,10,Hagedissingel
463,51.9820675,4.3487623,2595119192,10,Havannastraat
464,51.9827353,4.3674887,2595119193,10,Haviksingel
465,51.9867290,4.3591794,2595119194,10,Hazenlaan
466,51.9870866,4.3630011,2595119195,10,Hermelijnstraat
467,51.9798091,4.3407885,2595119196,10,Himalayapad
468,51.9860332,4.3568486,2595119198,10,Hoenderhof
469,51.9853275,4.3637511,2595119199,10,Houtduifstraat
470,51.9842642,4.3486337,2595119200,10,Hélder Câmarastraat
471,51.9835428,4.3598419,2595119201,10,IJsvogelpad
472,51.9798834,4.3491127,2595119202,10,Indiastraat
473,51.9804529,4.3469677,2595119203,10,Israëllaan
474,51.9822956,4.3451077,2595119204,10,Ivoorkust
475,51.9823278,4.3664191,2595119205,10,Jagerstraat
476,51.9796974,4.3423117,2595119206,10,Japanlaan
477,51.9798294,4.3474848,2595119210,10,Jordaniëstraat
478,51.9835677,4.3555530,2595119214,10,Karekiethof
479,51.9813421,4.3391324,2595119218,10,Karibastraat
